# M Z m_tot m_metal H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn Ga Ge As Se Br Kr Rb Sr Y Zr Nb Mo Tc Ru Rh Pd Ag Cd In Sn Sb Te I Xe Cs Ba La Ce Pr Nd Pm Sm Eu Gd Tb Dy Ho Er Tm Yb Lu Hf Ta W Re Os Ir Pt Au Hg Tl Pb Bi
10.000 0.000 8.72399845E+00 1.66619909E-01 5.29093019E+00 3.26644836E+00 7.31632941E-08 6.31034000E-12 1.38551818E-07 3.43521048E-02 2.15600900E-06 3.42162342E-02 1.05223000E-06 1.29381077E-02 1.37980000E-04 1.89072550E-03 6.00402000E-05 1.76683228E-02 3.31618000E-05 1.75098444E-02 3.99964800E-05 2.88618612E-03 4.14852546E-05 2.00989756E-03 3.76454000E-07 7.30803042E-05 6.50401240E-06 3.51549670E-04 1.38571000E-04 3.93657580E-02 2.08582000E-04 2.63260510E-03 1.95829680E-05 3.55895812E-05 2.25202800E-08 1.78140115E-07 4.50474000E-11 2.67172230E-09 7.16121600E-13 6.16311198E-11 1.03292000E-16 2.73381721E-14 1.46099000E-16 2.26838700E-16 5.09926000E-17 6.62790593E-16 0.00000000E+00 6.92068750E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
10.200 0.000 8.81700149E+00 1.03432467E-01 5.38541028E+00 3.32815874E+00 6.83797335E-08 5.36059000E-12 1.01419707E-07 3.35314731E-02 1.88082900E-06 4.24558134E-02 9.17786000E-07 1.23397441E-02 1.04182000E-04 5.85321170E-03 2.25058000E-04 5.12748440E-03 2.39132000E-05 1.69592203E-03 2.27804200E-06 2.71347504E-04 4.51123017E-07 2.03744936E-04 2.01538000E-07 7.84445896E-06 6.68507810E-07 5.78113320E-05 2.82096000E-05 1.10971657E-03 7.17135000E-05 3.06769650E-04 6.40020600E-06 5.52644020E-06 7.57372300E-09 5.21163420E-09 5.80857000E-12 1.20751260E-10 1.60754400E-13 4.60218490E-12 6.04321000E-16 1.28447777E-13 1.65135000E-15 7.14434001E-15 3.23689000E-15 1.68837337E-13 0.00000000E+00 8.86118270E-15 0.00000000E+00 1.78901000E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
10.400 0.000 9.07999668E+00 3.10315560E-01 5.40169036E+00 3.36799076E+00 1.15152659E-07 1.09140000E-11 3.68676535E-07 6.90419241E-02 5.35275000E-06 1.04096433E-01 6.64837000E-07 1.11047594E-02 5.15319000E-05 5.38004790E-03 1.14071000E-04 3.04080987E-02 6.41516000E-05 3.03083116E-02 6.91027000E-05 5.84247430E-03 8.32361499E-05 4.51812265E-03 5.98834000E-07 9.95264726E-05 9.74800860E-06 7.08512448E-04 2.49782000E-04 4.56610292E-02 1.57175000E-04 2.28679250E-03 1.65251560E-05 3.69162954E-05 2.23176800E-08 1.62509933E-07 4.23294000E-11 2.46476140E-09 8.01784600E-13 5.49394841E-11 1.00593000E-16 2.15877994E-14 1.07709000E-16 1.56358800E-16 3.86488000E-17 5.11918802E-16 0.00000000E+00 6.74355074E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
10.500 0.000 9.08500407E+00 1.60874792E-01 5.50613042E+00 3.41799885E+00 9.16227356E-08 7.90423000E-12 2.15785350E-07 5.09994313E-02 2.90918000E-06 6.38567028E-02 4.78790000E-07 8.94273849E-03 5.56843000E-05 3.89628210E-03 1.01555000E-04 1.36073340E-02 2.87596000E-05 7.14021740E-03 1.09173100E-05 1.24586292E-03 4.67142200E-06 1.06158164E-03 1.22241000E-06 3.66515623E-05 4.21729745E-06 1.87134618E-04 3.45612000E-05 8.66806253E-03 1.02011000E-04 8.13841100E-04 3.08417610E-05 4.07334830E-05 2.42309600E-08 5.62252720E-08 7.29062000E-11 9.41090000E-10 1.72548750E-12 2.00394962E-11 2.68642000E-16 1.55391060E-14 7.80131000E-17 2.28586500E-16 6.83701000E-17 1.46122838E-15 0.00000000E+00 2.86926255E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
10.600 0.000 9.19799607E+00 1.55846098E-01 5.57506061E+00 3.46708936E+00 8.65366347E-08 6.49694000E-12 2.12668030E-07 5.00531468E-02 3.33498000E-06 6.63931323E-02 1.02277000E-06 1.38533316E-02 1.20841000E-04 4.05924700E-03 1.25808000E-04 9.54280270E-03 2.75526000E-05 4.67366436E-03 1.01720200E-05 9.57683815E-04 4.19473418E-06 9.16137025E-04 7.98958000E-07 2.02981990E-05 2.27264630E-06 1.44415706E-04 1.70021000E-05 4.28795111E-03 7.01412000E-05 5.20010090E-04 2.15814610E-05 1.92286136E-05 1.19661100E-08 1.45045920E-08 2.59222000E-11 2.69082150E-10 7.01892300E-13 6.28679040E-12 2.37747000E-16 9.34668250E-15 4.70175000E-17 1.50305500E-16 5.34323000E-17 1.09544849E-15 0.00000000E+00 3.07502527E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
10.700 0.000 9.28499529E+00 1.66924807E-01 5.62110065E+00 3.49696984E+00 9.54556218E-08 6.85731000E-12 2.44591280E-07 5.16628894E-02 3.31089000E-06 6.70517771E-02 5.46424000E-07 1.07514656E-02 6.09875000E-05 4.19442620E-03 1.11461000E-04 1.40063636E-02 3.05106000E-05 7.24234536E-03 1.09073800E-05 1.24272432E-03 4.35649786E-06 1.03653865E-03 9.59937000E-07 3.57779974E-05 3.56904549E-06 1.78484902E-04 3.58796000E-05 8.33158599E-03 8.67626000E-05 7.71926200E-04 3.21580710E-05 3.66749050E-05 2.33923000E-08 5.31307610E-08 6.99826000E-11 8.52925300E-10 1.60787560E-12 1.80839797E-11 2.18558000E-16 1.39935840E-14 6.63725000E-17 1.95121400E-16 5.54736000E-17 1.10343534E-15 0.00000000E+00 2.04297696E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
10.800 0.000 9.45200117E+00 2.56661039E-01 5.65551070E+00 3.53982943E+00 1.02858616E-07 8.17312000E-12 2.85263511E-07 6.01105782E-02 4.30948000E-06 8.49385845E-02 8.73132000E-07 1.32590058E-02 8.05810000E-05 5.89570090E-03 1.37710000E-04 2.01735342E-02 3.58799000E-05 1.19213886E-02 1.05837500E-05 2.14159722E-03 6.84355321E-06 1.91115088E-03 1.18709000E-07 8.16254769E-05 6.46783322E-06 6.15420562E-04 1.97174000E-04 5.24871260E-02 1.44384000E-04 2.45197080E-03 1.52022000E-05 3.26554625E-05 1.90487800E-08 1.62781392E-07 2.11157000E-11 2.41275166E-09 4.07245700E-13 5.29766715E-11 4.65693000E-17 1.97683598E-14 8.73295000E-17 1.23177300E-16 3.23566000E-17 4.30270743E-16 0.00000000E+00 4.84728084E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
10.900 0.000 9.46400506E+00 1.82834300E-01 5.71285078E+00 3.56831998E+00 9.26521496E-08 8.38830000E-12 2.39812850E-07 5.95784290E-02 2.88852000E-06 7.32223444E-02 2.99230000E-07 6.54639661E-03 2.10352000E-05 4.00231640E-03 8.68751000E-05 1.55172293E-02 2.66104000E-05 7.98666201E-03 1.01956700E-05 1.34992881E-03 4.15607801E-06 1.12932338E-03 6.94581000E-07 3.84033216E-05 2.81801761E-06 1.56064781E-04 3.11665000E-05 1.21418175E-02 7.44530000E-05 8.34854300E-04 3.43000440E-05 3.46298592E-05 2.26175500E-08 5.19736730E-08 5.33362000E-11 8.81886400E-10 1.43243080E-12 2.03342743E-11 1.54186000E-16 1.22926356E-14 6.15230000E-17 1.65409200E-16 4.83139000E-17 7.58193400E-16 0.00000000E+00 1.44008915E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
11.000 0.000 9.55999906E+00 2.00757459E-01 5.76255087E+00 3.59669073E+00 1.06084204E-07 1.54427000E-11 2.47263100E-07 5.65317784E-02 3.15896000E-06 6.61373311E-02 1.70748000E-07 4.09656407E-03 9.88937000E-06 4.85168207E-03 5.42009000E-05 2.13725957E-02 2.44406000E-05 1.27142372E-02 6.77034000E-06 2.24030370E-03 3.14616455E-06 1.90659915E-03 1.16369000E-07 6.07624590E-05 2.54338407E-06 3.71947550E-04 6.78280000E-05 2.88242780E-02 7.40145000E-05 1.34619520E-03 2.99218450E-05 2.65066380E-05 1.86668600E-08 1.02548763E-07 2.45974000E-11 1.68463309E-09 7.92421600E-13 4.18664515E-11 7.11221000E-17 1.86906605E-14 7.55704000E-17 1.35469700E-16 3.62407000E-17 5.00511745E-16 0.00000000E+00 6.85730351E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
11.100 0.000 9.78600239E+00 5.19041305E-01 5.74311086E+00 3.52385022E+00 1.01503271E-07 1.70365000E-11 2.33735827E-07 6.94421246E-02 7.89277000E-06 1.98331708E-01 1.14787000E-07 1.96687463E-03 2.21693000E-06 2.50710125E-03 1.92264000E-04 8.49024010E-02 3.88384000E-04 8.46298341E-02 5.71304000E-04 2.02380847E-02 5.42781194E-04 6.95296060E-03 1.07148000E-06 1.00941915E-04 9.87402360E-06 6.33519467E-04 2.52057000E-04 4.48771718E-02 1.48263000E-04 2.29240370E-03 1.56118270E-05 3.38421472E-05 2.12711500E-08 1.43124936E-07 3.65901000E-11 2.13132020E-09 6.57154600E-13 5.04908698E-11 9.18720000E-17 2.08429624E-14 9.87946000E-17 1.39884100E-16 3.38861000E-17 4.55535292E-16 0.00000000E+00 5.53242062E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
