# #Cycle_Number Time  Density  HI_Density  HII_Density  HeI_Density  HeII_Density  HeIII_Density  HM_Density  H2I_Density  H2II_Density  Metal_Density  C_Density  N_Density  O_Density  Mg_Density  Si_Density  S_Density  Ca_Density  Mn_Density  Fe_Density  Ni_Density  Y_Density  Ba_Density  Eu_Density 
# 
1.420000E+02 1.424700E+02 8.497040E-10 2.146510E-17 5.044590E-12 2.576780E-20 3.364690E-15 1.589670E-12 2.162040E-28 2.162040E-28 6.534860E-28 6.638310E-16 2.988850E-33 2.988850E-33 2.988850E-33 2.988850E-33 2.988850E-33 2.988850E-33 2.988850E-33 2.988850E-33 2.988850E-33 2.988850E-33 2.988850E-33 2.988850E-33 2.988850E-33
1.430000E+02 1.428230E+02 5.652930E-08 1.412185E-15 3.356076E-10 1.704558E-18 2.240297E-13 1.057577E-10 1.399490E-26 1.399490E-26 4.919549E-26 4.416353E-14 2.004818E-31 2.004818E-31 2.004818E-31 2.004818E-31 2.004818E-31 2.004818E-31 2.004818E-31 2.004818E-31 2.004818E-31 2.004818E-31 2.004818E-31 2.004818E-31 2.004818E-31
1.440000E+02 1.431760E+02 3.033423E-07 7.467385E-15 1.800908E-09 9.075258E-18 1.202720E-12 5.675067E-10 7.269290E-26 7.269290E-26 3.055275E-25 2.369855E-13 1.088182E-30 1.088182E-30 1.088182E-30 1.088182E-30 1.088182E-30 1.088182E-30 1.088182E-30 1.088182E-30 1.088182E-30 1.088182E-30 1.088182E-30 1.088182E-30 1.088182E-30
1.450000E+02 1.435280E+02 9.384433E-07 2.268839E-14 5.571428E-09 2.780296E-17 3.721150E-12 1.755687E-09 2.168079E-25 2.168079E-25 1.110055E-24 7.331575E-13 3.412372E-30 3.412372E-30 3.412372E-30 3.412372E-30 3.412372E-30 3.412372E-30 3.412372E-30 3.412372E-30 3.412372E-30 3.412372E-30 3.412372E-30 3.412372E-30 3.412372E-30
1.460000E+02 1.438810E+02 2.230453E-06 5.279709E-14 1.324197E-08 6.528726E-17 8.832780E-12 4.172857E-09 4.949509E-25 4.949509E-25 3.101885E-24 1.742548E-12 8.217182E-30 8.217182E-30 8.217182E-30 8.217182E-30 8.217182E-30 8.217182E-30 8.217182E-30 8.217182E-30 8.217182E-30 8.217182E-30 8.217182E-30 8.217182E-30 8.217182E-30
1.470000E+02 1.442340E+02 4.503903E-06 1.042491E-13 2.673917E-08 1.300759E-16 1.779286E-11 8.426187E-09 9.581849E-25 9.581849E-25 7.267205E-24 3.518678E-12 1.677176E-29 1.677176E-29 1.677176E-29 1.677176E-29 1.677176E-29 1.677176E-29 1.677176E-29 1.677176E-29 1.677176E-29 1.677176E-29 1.677176E-29 1.677176E-29 1.677176E-29
1.480000E+02 1.445880E+02 8.112333E-06 1.837195E-13 4.816197E-08 2.311589E-16 3.196106E-11 1.517715E-08 1.654470E-24 1.654470E-24 1.490406E-23 6.337758E-12 3.044976E-29 3.044976E-29 3.044976E-29 3.044976E-29 3.044976E-29 3.044976E-29 3.044976E-29 3.044976E-29 3.044976E-29 3.044976E-29 3.044976E-29 3.044976E-29 3.044976E-29
1.490000E+02 1.449410E+02 9.004497E-06 2.029264E-13 5.345864E-08 2.557871E-16 3.545349E-11 1.684630E-08 1.817977E-24 1.817977E-24 1.703087E-23 7.034760E-12 3.384372E-29 3.384372E-29 3.384372E-29 3.384372E-29 3.384372E-29 3.384372E-29 3.384372E-29 3.384372E-29 3.384372E-29 3.384372E-29 3.384372E-29 3.384372E-29 3.384372E-29
1.500000E+02 1.450000E+02 1.463140E-05 3.236574E-13 8.686494E-08 4.107271E-16 5.746769E-11 2.737370E-08 2.841167E-24 2.841167E-24 3.069707E-23 1.143077E-11 5.525452E-29 5.525452E-29 5.525452E-29 5.525452E-29 5.525452E-29 5.525452E-29 5.525452E-29 5.525452E-29 5.525452E-29 5.525452E-29 5.525452E-29 5.525452E-29 5.525452E-29
1.510000E+02 1.453530E+02 2.238212E-05 4.874034E-13 1.328801E-07 6.218951E-16 8.773419E-11 4.187460E-08 4.185807E-24 4.185807E-24 5.143627E-23 1.748601E-11 8.476022E-29 8.476022E-29 8.476022E-29 8.476022E-29 8.476022E-29 8.476022E-29 8.476022E-29 8.476022E-29 8.476022E-29 8.476022E-29 8.476022E-29 8.476022E-29 8.476022E-29
1.520000E+02 1.457070E+02 3.260562E-05 7.013784E-13 1.935757E-07 8.985411E-16 1.276205E-10 6.100180E-08 5.885437E-24 5.885437E-24 8.121007E-23 2.547308E-11 1.236225E-28 1.236225E-28 1.236225E-28 1.236225E-28 1.236225E-28 1.236225E-28 1.236225E-28 1.236225E-28 1.236225E-28 1.236225E-28 1.236225E-28 1.236225E-28 1.236225E-28
1.530000E+02 1.460600E+02 4.561312E-05 9.724794E-13 2.707996E-07 1.249610E-15 1.783676E-10 8.533760E-08 7.966277E-24 7.966277E-24 1.220140E-22 3.563518E-11 1.729319E-28 1.729319E-28 1.729319E-28 1.729319E-28 1.729319E-28 1.729319E-28 1.729319E-28 1.729319E-28 1.729319E-28 1.729319E-28 1.729319E-28 1.729319E-28 1.729319E-28
