Table 1
Ionizing Photons and Energies

Mass	E(H II)	N_gamma(H II)	(H II)	E(He II)	N_gamma(He II)	(He II)	E(He III)	N_gamma(He III)	(He III)	E(LW)	N_gamma(LW)	(LW)	
(M_sun)	(erg)		(Aring)	(erg)		(Aring)	(erg)		(Aring)	(erg)		(Aring)	
10.0	1.23E52	3.96E62	637.94	2.82E51	5.92E61	417.56	1.18E49	1.25E59	210.23	3.33E51	1.69E62	1005.1	
10.2	1.28E52	4.10E62	635.96	2.98E51	6.26E61	416.80	1.34E49	1.41E59	210.05	3.40E51	1.72E62	1005.0	
10.4	1.36E52	4.36E62	636.00	3.18E51	6.67E61	416.50	1.49E49	1.57E59	209.87	3.64E51	1.84E62	1005.1	
10.5	1.36E52	4.34E62	633.01	3.27E51	6.84E61	415.66	1.61E49	1.70E59	209.78	3.54E51	1.79E62	1004.9	
10.6	1.37E52	4.37E62	631.94	3.33E51	6.96E61	415.27	1.70E49	1.79E59	209.70	3.53E51	1.79E62	1004.9	
10.7	1.40E52	4.44E62	630.92	3.42E51	7.15E61	414.87	1.80E49	1.90E59	209.60	3.57E51	1.81E62	1004.9	
10.8	1.43E52	4.53E62	629.96	3.53E51	7.36E61	414.47	1.92E49	2.02E59	209.51	3.61E51	1.83E62	1004.9	
10.9	1.45E52	4.59E62	629.10	3.60E51	7.52E61	414.17	2.01E49	2.12E59	209.44	3.64E51	1.84E62	1004.8	
11.0	1.47E52	4.65E62	628.14	3.69E51	7.70E61	413.80	2.12E49	2.23E59	209.35	3.67E51	1.85E62	1004.8	
11.1	1.54E52	4.87E62	627.64	3.89E51	8.10E61	413.54	2.29E49	2.41E59	209.27	3.83E51	1.94E62	1004.7	
11.2	1.52E52	4.79E62	626.29	3.88E51	8.07E61	413.09	2.35E49	2.48E59	209.19	3.73E51	1.88E62	1004.7	
11.3	1.56E52	4.90E62	625.03	4.02E51	8.36E61	412.61	2.53E49	2.66E59	209.09	3.78E51	1.91E62	1004.7	
11.4	1.62E52	5.10E62	626.75	4.12E51	8.56E61	412.89	2.59E49	2.72E59	209.02	4.00E51	2.03E62	1004.8	
11.5	1.59E52	5.00E62	623.35	4.18E51	8.68E61	411.94	2.77E49	2.92E59	208.92	3.82E51	1.93E62	1004.6	
11.6	1.62E52	5.07E62	622.49	4.28E51	8.86E61	411.61	2.91E49	3.06E59	208.84	3.85E51	1.95E62	1004.6	
11.7	1.66E52	5.20E62	622.49	4.39E51	9.09E61	411.51	3.02E49	3.18E59	208.78	3.95E51	2.00E62	1004.6	
11.8	1.67E52	5.22E62	620.52	4.49E51	9.29E61	410.87	3.22E49	3.39E59	208.68	3.91E51	1.98E62	1004.5	
11.9	1.69E52	5.29E62	620.17	4.57E51	9.45E61	410.70	3.33E49	3.50E59	208.62	3.95E51	2.00E62	1004.5	
12.0	1.72E52	5.36E62	619.48	4.67E51	9.64E61	410.42	3.47E49	3.64E59	208.55	3.99E51	2.02E62	1004.5	
12.2	1.83E52	5.71E62	620.07	4.94E51	1.02E62	410.25	3.79E49	3.98E59	208.39	4.29E51	2.17E62	1004.6	
12.4	1.82E52	5.65E62	615.92	5.09E51	1.05E62	409.03	4.19E49	4.39E59	208.23	4.11E51	2.08E62	1004.4	
12.6	1.87E52	5.80E62	614.63	5.30E51	1.09E62	408.51	4.53E49	4.74E59	208.09	4.18E51	2.11E62	1004.3	
12.8	1.93E52	5.94E62	613.05	5.52E51	1.13E62	407.88	4.93E49	5.16E59	207.95	4.24E51	2.15E62	1004.3	
13.0	1.98E52	6.10E62	611.94	5.73E51	1.18E62	407.45	5.27E49	5.51E59	207.84	4.32E51	2.19E62	1004.3	
13.2	2.04E52	6.26E62	610.67	5.95E51	1.22E62	406.93	5.68E49	5.94E59	207.71	4.40E51	2.22E62	1004.2	
13.4	2.09E52	6.40E62	609.16	6.17E51	1.26E62	406.34	6.13E49	6.41E59	207.57	4.46E51	2.25E62	1004.2	
13.6	2.14E52	6.56E62	607.92	6.40E51	1.31E62	405.86	6.57E49	6.86E59	207.45	4.53E51	2.29E62	1004.2	
13.8	2.20E52	6.72E62	606.67	6.64E51	1.35E62	405.36	7.04E49	7.35E59	207.33	4.60E51	2.33E62	1004.1	
14.0	2.25E52	6.87E62	605.34	6.87E51	1.40E62	404.83	7.55E49	7.87E59	207.20	4.67E51	2.36E62	1004.1	
14.2	2.31E52	7.02E62	604.03	7.11E51	1.45E62	404.29	8.09E49	8.44E59	207.07	4.73E51	2.39E62	1004.0	
14.4	2.38E52	7.21E62	602.46	7.41E51	1.51E62	403.70	8.75E49	9.11E59	206.95	4.81E51	2.43E62	1004.0	
14.6	2.43E52	7.38E62	602.15	7.61E51	1.55E62	403.52	9.11E49	9.48E59	206.87	4.91E51	2.48E62	1004.0	
14.8	2.48E52	7.51E62	600.58	7.85E51	1.59E62	402.91	9.76E49	1.02E60	206.74	4.95E51	2.50E62	1003.9	
15.0	2.60E52	7.85E62	599.82	8.27E51	1.68E62	402.59	1.05E50	1.09E60	206.66	5.15E51	2.60E62	1003.9	
15.2	2.69E52	8.12E62	598.97	8.62E51	1.75E62	402.21	1.12E50	1.16E60	206.57	5.31E51	2.68E62	1003.9	
15.4	2.67E52	8.02E62	597.42	8.63E51	1.75E62	401.67	1.16E50	1.20E60	206.45	5.18E51	2.62E62	1003.9	
15.6	2.75E52	8.25E62	596.18	8.98E51	1.81E62	401.17	1.24E50	1.29E60	206.34	5.29E51	2.67E62	1003.8	
15.8	2.79E52	8.37E62	595.65	9.16E51	1.85E62	400.94	1.28E50	1.33E60	206.26	5.35E51	2.70E62	1003.8	
16.0	2.86E52	8.56E62	594.70	9.44E51	1.90E62	400.56	1.35E50	1.41E60	206.17	5.44E51	2.75E62	1003.8	
16.2	2.93E52	8.76E62	593.99	9.73E51	1.96E62	400.24	1.42E50	1.48E60	206.08	5.54E51	2.80E62	1003.8	
16.4	2.99E52	8.92E62	592.93	9.99E51	2.01E62	399.84	1.50E50	1.55E60	206.00	5.60E51	2.83E62	1003.8	
