Table 2
Binned Photon Numbers

Mass	0.755 eV-	2.650 eV-	11.18 eV-	13.60 eV-	15.42 eV-	24.59 eV-	30.00 eV-	>54.42 eV	
(M_sun)	2.650 eV	11.18 eV	13.60 eV	15.42 eV	24.59 eV	30.00 eV	54.42 eV		
10.0	1.12E62	8.30E62	1.69E62	9.84E61	2.38E62	3.84E61	2.07E61	1.25E59	
10.2	1.12E62	8.40E62	1.72E62	1.01E62	2.46E62	4.03E61	2.21E61	1.41E59	
10.4	1.21E62	9.04E62	1.84E62	1.08E62	2.62E62	4.29E61	2.37E61	1.57E59	
10.5	1.14E62	8.62E62	1.79E62	1.05E62	2.60E62	4.37E61	2.46E61	1.70E59	
10.6	1.12E62	8.56E62	1.79E62	1.06E62	2.62E62	4.43E61	2.51E61	1.79E59	
10.7	1.12E62	8.61E62	1.81E62	1.07E62	2.66E62	4.54E61	2.60E61	1.90E59	
10.8	1.13E62	8.69E62	1.83E62	1.08E62	2.71E62	4.65E61	2.69E61	2.02E59	
10.9	1.13E62	8.70E62	1.84E62	1.09E62	2.74E62	4.74E61	2.76E61	2.12E59	
11.0	1.13E62	8.74E62	1.85E62	1.10E62	2.78E62	4.84E61	2.84E61	2.23E59	
11.1	1.17E62	9.11E62	1.94E62	1.15E62	2.91E62	5.08E61	2.99E61	2.41E59	
11.2	1.13E62	8.81E62	1.88E62	1.12E62	2.86E62	5.04E61	3.00E61	2.48E59	
11.3	1.14E62	8.89E62	1.91E62	1.14E62	2.92E62	5.20E61	3.13E61	2.66E59	
11.4	1.24E62	9.56E62	2.03E62	1.20E62	3.04E62	5.34E61	3.19E61	2.72E59	
11.5	1.13E62	8.92E62	1.93E62	1.16E62	2.98E62	5.37E61	3.28E61	2.92E59	
11.6	1.13E62	8.96E62	1.95E62	1.17E62	3.01E62	5.47E61	3.36E61	3.06E59	
11.7	1.17E62	9.22E62	2.00E62	1.20E62	3.09E62	5.61E61	3.45E61	3.18E59	
11.8	1.13E62	9.02E62	1.98E62	1.19E62	3.10E62	5.70E61	3.56E61	3.39E59	
11.9	1.14E62	9.11E62	2.00E62	1.21E62	3.14E62	5.79E61	3.62E61	3.50E59	
12.0	1.15E62	9.17E62	2.02E62	1.22E62	3.18E62	5.90E61	3.71E61	3.64E59	
12.2	1.26E62	9.96E62	2.17E62	1.31E62	3.38E62	6.24E61	3.93E61	3.98E59	
12.4	1.15E62	9.30E62	2.08E62	1.26E62	3.34E62	6.34E61	4.10E61	4.39E59	
12.6	1.16E62	9.43E62	2.11E62	1.29E62	3.42E62	6.56E61	4.29E61	4.74E59	
12.8	1.17E62	9.51E62	2.15E62	1.31E62	3.50E62	6.79E61	4.49E61	5.16E59	
13.0	1.18E62	9.65E62	2.19E62	1.34E62	3.59E62	7.01E61	4.68E61	5.51E59	
13.2	1.19E62	9.77E62	2.22E62	1.36E62	3.68E62	7.24E61	4.88E61	5.94E59	
13.4	1.19E62	9.84E62	2.25E62	1.38E62	3.75E62	7.47E61	5.09E61	6.41E59	
13.6	1.20E62	9.95E62	2.29E62	1.41E62	3.84E62	7.71E61	5.30E61	6.86E59	
13.8	1.21E62	1.01E63	2.33E62	1.43E62	3.93E62	7.95E61	5.52E61	7.35E59	
14.0	1.22E62	1.02E63	2.36E62	1.46E62	4.01E62	8.18E61	5.74E61	7.87E59	
14.2	1.22E62	1.03E63	2.39E62	1.48E62	4.09E62	8.42E61	5.97E61	8.44E59	
14.4	1.23E62	1.04E63	2.43E62	1.51E62	4.20E62	8.72E61	6.25E61	9.11E59	
14.6	1.26E62	1.06E63	2.48E62	1.54E62	4.29E62	8.94E61	6.42E61	9.48E59	
14.8	1.25E62	1.06E63	2.50E62	1.56E62	4.36E62	9.17E61	6.66E61	1.02E60	
15.0	1.30E62	1.10E63	2.60E62	1.62E62	4.55E62	9.62E61	7.03E61	1.09E60	
15.2	1.33E62	1.13E63	2.68E62	1.67E62	4.70E62	9.99E61	7.35E61	1.16E60	
15.4	1.28E62	1.10E63	2.62E62	1.64E62	4.64E62	9.94E61	7.39E61	1.20E60	
15.6	1.30E62	1.11E63	2.67E62	1.67E62	4.76E62	1.03E62	7.72E61	1.29E60	
15.8	1.31E62	1.13E63	2.70E62	1.70E62	4.83E62	1.05E62	7.88E61	1.33E60	
16.0	1.32E62	1.14E63	2.75E62	1.73E62	4.93E62	1.07E62	8.15E61	1.41E60	
16.2	1.35E62	1.16E63	2.80E62	1.76E62	5.04E62	1.10E62	8.41E61	1.48E60	
16.4	1.35E62	1.17E63	2.83E62	1.78E62	5.12E62	1.13E62	8.67E61	1.55E60	
16.6	1.38E62	1.20E63	2.91E62	1.84E62	5.30E62	1.18E62	9.12E61	1.68E60	
16.8	1.44E62	1.24E63	3.00E62	1.89E62	5.43E62	1.20E62	9.27E61	1.72E60	
17.0	1.39E62	1.21E63	2.96E62	1.87E62	5.43E62	1.22E62	9.52E61	1.80E60	
17.1	1.39E62	1.21E63	2.97E62	1.88E62	5.47E62	1.23E62	9.69E61	1.86E60	
17.2	1.40E62	1.23E63	3.00E62	1.90E62	5.53E62	1.24E62	9.82E61	1.90E60	
17.3	1.41E62	1.24E63	3.03E62	1.92E62	5.59E62	1.26E62	9.94E61	1.93E60	
17.4	1.46E62	1.27E63	3.11E62	1.97E62	5.71E62	1.28E62	1.01E62	1.97E60	
17.5	1.41E62	1.24E63	3.05E62	1.94E62	5.67E62	1.29E62	1.03E62	2.04E60	
17.6	1.47E62	1.29E63	3.17E62	2.01E62	5.86E62	1.33E62	1.06E62	2.10E60	
17.7	1.43E62	1.26E63	3.10E62	1.97E62	5.78E62	1.32E62	1.06E62	2.13E60	
17.8	1.43E62	1.26E63	3.12E62	1.99E62	5.84E62	1.34E62	1.08E62	2.20E60	
17.9	1.46E62	1.28E63	3.17E62	2.01E62	5.90E62	1.35E62	1.08E62	2.21E60	
18.0	1.46E62	1.28E63	3.18E62	2.02E62	5.95E62	1.36E62	1.10E62	2.27E60	
18.1	1.58E62	1.37E63	3.35E62	2.12E62	6.17E62	1.40E62	1.12E62	2.29E60	
18.2	1.47E62	1.30E63	3.22E62	2.05E62	6.05E62	1.40E62	1.13E62	2.38E60	
18.3	1.48E62	1.31E63	3.25E62	2.07E62	6.11E62	1.41E62	1.15E62	2.42E60	
18.4	1.58E62	1.38E63	3.40E62	2.16E62	6.31E62	1.44E62	1.17E62	2.46E60	
18.5	1.59E62	1.39E63	3.42E62	2.17E62	6.37E62	1.46E62	1.19E62	2.54E60	
18.6	1.50E62	1.33E63	3.32E62	2.12E62	6.28E62	1.46E62	1.20E62	2.58E60	
18.7	1.51E62	1.34E63	3.34E62	2.14E62	6.33E62	1.48E62	1.21E62	2.64E60	
18.8	1.61E62	1.42E63	3.50E62	2.22E62	6.54E62	1.51E62	1.23E62	2.67E60	
18.9	1.55E62	1.38E63	3.44E62	2.20E62	6.54E62	1.53E62	1.27E62	2.79E60	
19.0	1.61E62	1.42E63	3.54E62	2.26E62	6.68E62	1.55E62	1.28E62	2.82E60	
19.2	1.57E62	1.39E63	3.49E62	2.23E62	6.64E62	1.56E62	1.30E62	2.92E60	
19.4	1.56E62	1.40E63	3.51E62	2.25E62	6.73E62	1.59E62	1.34E62	3.07E60	
19.6	1.57E62	1.41E63	3.55E62	2.28E62	6.83E62	1.62E62	1.37E62	3.19E60	
19.8	1.63E62	1.46E63	3.67E62	2.35E62	7.04E62	1.67E62	1.41E62	3.30E60	
20.0	1.81E62	1.59E63	3.92E62	2.50E62	7.38E62	1.72E62	1.44E62	3.41E60	
20.5	1.80E62	1.60E63	3.99E62	2.55E62	7.62E62	1.81E62	1.53E62	3.75E60	
21.0	1.69E62	1.54E63	3.93E62	2.54E62	7.73E62	1.89E62	1.64E62	4.19E60	
21.5	1.89E62	1.69E63	4.25E62	2.73E62	8.23E62	1.99E62	1.73E62	4.51E60	
22.0	1.82E62	1.65E63	4.24E62	2.74E62	8.38E62	2.06E62	1.83E62	4.93E60	
22.5	1.83E62	1.67E63	4.33E62	2.81E62	8.66E62	2.16E62	1.94E62	5.39E60	
23.0	1.88E62	1.72E63	4.46E62	2.90E62	8.97E62	2.25E62	2.04E62	5.81E60	
23.5	1.96E62	1.79E63	4.64E62	3.02E62	9.34E62	2.35E62	2.14E62	6.27E60	
24.0	1.94E62	1.79E63	4.68E62	3.05E62	9.53E62	2.43E62	2.25E62	6.79E60	
24.5	2.09E62	1.92E63	4.97E62	3.23E62	1.00E63	2.55E62	2.36E62	7.25E60	
25.0	2.14E62	1.96E63	5.11E62	3.32E62	1.04E63	2.66E62	2.49E62	7.86E60	
25.5	2.16E62	2.00E63	5.23E62	3.41E62	1.07E63	2.76E62	2.61E62	8.43E60	
26.0	2.20E62	2.03E63	5.34E62	3.49E62	1.10E63	2.85E62	2.71E62	8.94E60	
26.5	2.28E62	2.10E63	5.50E62	3.59E62	1.13E63	2.94E62	2.81E62	9.49E60	
27.0	2.37E62	2.18E63	5.69E62	3.72E62	1.17E63	3.05E62	2.94E62	1.01E61	
27.5	2.34E62	2.17E63	5.74E62	3.76E62	1.20E63	3.16E62	3.08E62	1.08E61	
28.0	2.46E62	2.27E63	5.96E62	3.90E62	1.24E63	3.26E62	3.18E62	1.14E61	
28.5	2.38E62	2.23E63	5.94E62	3.91E62	1.25E63	3.35E62	3.31E62	1.21E61	
29.0	2.50E62	2.33E63	6.18E62	4.06E62	1.30E63	3.47E62	3.44E62	1.28E61	
29.5	2.42E62	2.29E63	6.14E62	4.06E62	1.31E63	3.55E62	3.57E62	1.36E61	
30.0	2.63E62	2.44E63	6.47E62	4.25E62	1.36E63	3.66E62	3.68E62	1.43E61	
30.5	2.50E62	2.37E63	6.39E62	4.23E62	1.37E63	3.75E62	3.82E62	1.50E61	
31.0	2.53E62	2.40E63	6.49E62	4.30E62	1.40E63	3.85E62	3.95E62	1.59E61	
31.5	2.81E62	2.61E63	6.94E62	4.57E62	1.47E63	4.00E62	4.10E62	1.67E61	
32.0	2.69E62	2.54E63	6.85E62	4.53E62	1.48E63	4.07E62	4.21E62	1.75E61	
32.5	2.89E62	2.69E63	7.18E62	4.74E62	1.53E63	4.20E62	4.35E62	1.83E61	
33.0	2.88E62	2.71E63	7.25E62	4.79E62	1.56E63	4.30E62	4.49E62	1.91E61	
33.5	3.20E62	2.93E63	7.68E62	5.04E62	1.62E63	4.42E62	4.61E62	1.99E61	
34.0	2.83E62	2.69E63	7.33E62	4.87E62	1.60E63	4.50E62	4.76E62	2.10E61	
34.5	3.03E62	2.84E63	7.65E62	5.06E62	1.65E63	4.61E62	4.88E62	2.17E61	
35.0	3.06E62	2.88E63	7.76E62	5.14E62	1.69E63	4.72E62	5.04E62	2.28E61	
36.0	2.99E62	2.86E63	7.83E62	5.22E62	1.73E63	4.91E62	5.30E62	2.46E61	
37.0	3.10E62	2.96E63	8.11E62	5.41E62	1.80E63	5.13E62	5.58E62	2.65E61	
38.0	3.95E62	3.38E63	8.59E62	5.65E62	1.85E63	5.29E62	5.83E62	2.85E61	
39.0	6.87E62	3.80E63	8.58E62	5.66E62	1.89E63	5.49E62	6.12E62	3.06E61	
40.0	3.45E62	3.29E63	8.99E62	6.00E62	2.00E63	5.79E62	6.45E62	3.28E61	
41.0	4.24E62	3.71E63	9.53E62	6.28E62	2.07E63	5.95E62	6.70E62	3.49E61	
42.0	4.02E62	3.69E63	9.79E62	6.49E62	2.15E63	6.20E62	7.00E62	3.71E61	
43.0	4.11E62	3.79E63	1.01E63	6.69E62	2.22E63	6.42E62	7.29E62	3.94E61	
44.0	4.11E62	3.83E63	1.03E63	6.84E62	2.28E63	6.65E62	7.59E62	4.16E61	
45.0	4.92E62	4.04E63	1.03E63	6.82E62	2.28E63	6.74E62	7.84E62	4.41E61	
50.0	8.42E62	5.00E63	1.18E63	7.74E62	2.59E63	7.79E62	9.31E62	5.65E61	
55.0	1.88E63	6.60E63	1.21E63	8.05E62	2.79E63	8.69E62	1.07E63	6.99E61	
60.0	7.09E62	5.75E63	1.43E63	9.48E62	3.22E63	9.89E62	1.23E63	8.42E61	
65.0	1.30E63	7.14E63	1.52E63	9.96E62	3.41E63	1.07E63	1.38E63	9.88E61	
70.0	9.24E62	7.10E63	1.71E63	1.12E63	3.81E63	1.19E63	1.53E63	1.14E62	
75.0	6.40E63	8.55E63	1.60E63	1.10E63	3.95E63	1.29E63	1.69E63	1.30E62	
80.0	3.21E63	9.45E63	1.80E63	1.20E63	4.24E63	1.38E63	1.84E63	1.46E62	
85.0	2.54E63	1.02E64	1.95E63	1.29E63	4.54E63	1.49E63	1.99E63	1.62E62	
90.0	6.32E63	9.85E63	2.05E63	1.37E63	4.84E63	1.59E63	2.15E63	1.78E62	
95.0	2.89E63	1.24E64	2.41E63	1.55E63	5.14E63	1.59E63	2.11E63	1.83E62	
100.0	1.59E63	1.06E64	2.50E63	1.65E63	5.68E63	1.83E63	2.48E63	2.12E62	
