#[Fe/H] v0 v150 v300
-4.000 0.0507 0.7193 0.2300
-3.955 0.0506 0.7194 0.2300
-3.909 0.0506 0.7194 0.2300
-3.864 0.0506 0.7194 0.2300
-3.818 0.0506 0.7195 0.2300
-3.773 0.0505 0.7195 0.2300
-3.727 0.0505 0.7195 0.2300
-3.682 0.0505 0.7195 0.2299
-3.636 0.0505 0.7196 0.2299
-3.591 0.0505 0.7196 0.2299
-3.545 0.0504 0.7196 0.2299
-3.500 0.0504 0.7197 0.2299
-3.455 0.0504 0.7197 0.2299
-3.409 0.0504 0.7197 0.2299
-3.364 0.0504 0.7198 0.2299
-3.318 0.0503 0.7198 0.2299
-3.273 0.0503 0.7198 0.2299
-3.227 0.0503 0.7198 0.2299
-3.182 0.0503 0.7199 0.2299
-3.136 0.0502 0.7199 0.2299
-3.091 0.0502 0.7199 0.2298
-3.045 0.0502 0.7200 0.2298
-3.000 0.0502 0.7200 0.2298
-2.955 0.0502 0.7200 0.2298
-2.909 0.0501 0.7200 0.2298
-2.864 0.0501 0.7201 0.2298
-2.818 0.0501 0.7201 0.2298
-2.773 0.0615 0.7123 0.2261
-2.727 0.0770 0.7062 0.2169
-2.682 0.1054 0.6949 0.1997
-2.636 0.1643 0.6719 0.1638
-2.591 0.2191 0.6520 0.1290
-2.545 0.2554 0.6376 0.1070
-2.500 0.2914 0.6234 0.0852
-2.455 0.3190 0.6081 0.0729
-2.409 0.3463 0.5924 0.0612
-2.364 0.3719 0.5784 0.0497
-2.318 0.3931 0.5649 0.0420
-2.273 0.4125 0.5513 0.0362
-2.227 0.4302 0.5393 0.0305
-2.182 0.4463 0.5285 0.0251
-2.136 0.4616 0.5166 0.0219
-2.091 0.4761 0.5054 0.0185
-2.045 0.4874 0.4973 0.0153
-2.000 0.4988 0.4892 0.0120
-1.955 0.5085 0.4795 0.0120
-1.909 0.5183 0.4698 0.0119
-1.864 0.5269 0.4612 0.0119
-1.818 0.5355 0.4526 0.0119
-1.773 0.5435 0.4447 0.0118
-1.727 0.5506 0.4379 0.0115
-1.682 0.5574 0.4314 0.0112
-1.636 0.5637 0.4254 0.0109
-1.591 0.5699 0.4195 0.0106
-1.545 0.5762 0.4135 0.0103
-1.500 0.5824 0.4075 0.0100
-1.455 0.5885 0.4018 0.0097
-1.409 0.5941 0.3965 0.0094
-1.364 0.5989 0.3917 0.0094
-1.318 0.6037 0.3870 0.0094
-1.273 0.6084 0.3822 0.0093
-1.227 0.6132 0.3775 0.0093
-1.182 0.6166 0.3741 0.0093
-1.136 0.6200 0.3708 0.0093
-1.091 0.6233 0.3674 0.0092
-1.045 0.6266 0.3641 0.0092
-1.000 0.6298 0.3610 0.0092
-0.955 0.6328 0.3580 0.0092
-0.909 0.6356 0.3552 0.0092
-0.864 0.6383 0.3526 0.0091
-0.818 0.6410 0.3499 0.0091
-0.773 0.6436 0.3473 0.0091
-0.727 0.6460 0.3450 0.0091
-0.682 0.6481 0.3429 0.0090
-0.636 0.6502 0.3408 0.0090
-0.591 0.6522 0.3388 0.0090
-0.545 0.6543 0.3367 0.0089
-0.500 0.6562 0.3348 0.0089
-0.455 0.6581 0.3330 0.0089
-0.409 0.6599 0.3312 0.0089
-0.364 0.6618 0.3294 0.0088
-0.318 0.6635 0.3277 0.0088
-0.273 0.6646 0.3266 0.0088
-0.227 0.6657 0.3256 0.0088
-0.182 0.6667 0.3246 0.0087
-0.136 0.6677 0.3236 0.0087
-0.091 0.6685 0.3228 0.0087
-0.045 0.6691 0.3222 0.0087
0.000 0.6697 0.3216 0.0087
0.045 0.6707 0.3206 0.0086
0.091 0.6719 0.3195 0.0086
0.136 0.6732 0.3183 0.0086
0.182 0.6742 0.3172 0.0086
0.227 0.6750 0.3165 0.0085
0.273 0.6758 0.3157 0.0085
0.318 0.6767 0.3148 0.0085
0.364 0.6781 0.3134 0.0085
0.409 0.6789 0.3126 0.0084
0.455 0.6795 0.3121 0.0084
0.500 0.6798 0.3118 0.0084
